Date of assignment - 14/02/2024
Date of submission - 21/02/2024
MC23F14F001 -->  1 ,  3 , 10 , 17 , 24 , 26 , 35 , 37 , 41 , 46
MC23F14F002 -->  5 ,  6 , 12 , 14 , 18 , 19 , 27 , 30 , 43 , 45
MC23F14F003 -->  5 ,  6 ,  9 , 10 , 11 , 20 , 30 , 34 , 41 , 43
MC23F14F004 -->  3 ,  7 , 14 , 20 , 21 , 26 , 31 , 33 , 41 , 43
MC23F14F005 -->  3 ,  4 , 11 , 13 , 14 , 24 , 33 , 34 , 40 , 43
MC23F14F006 -->  2 ,  3 , 13 , 16 , 22 , 25 , 29 , 33 , 45 , 47
MC23F14F007 -->  2 ,  6 , 10 , 12 , 15 , 23 , 35 , 39 , 42 , 45
MC23F14F008 -->  1 ,  3 ,  8 , 10 , 19 , 24 , 29 , 35 , 40 , 47
MC23F14F009 -->  5 ,  7 , 11 , 13 , 15 , 20 , 35 , 39 , 40 , 41
MC23F14F010 -->  4 ,  5 , 17 , 20 , 22 , 24 , 27 , 31 , 44 , 46
MC23F14F011 -->  5 ,  6 , 11 , 15 , 16 , 21 , 30 , 39 , 43 , 47
MC23F14F012 -->  1 ,  2 ,  8 , 10 , 16 , 22 , 34 , 35 , 40 , 41
MC23F14F013 -->  1 ,  5 ,  8 , 21 , 22 , 25 , 31 , 36 , 42 , 46
MC23F14F014 -->  4 ,  6 ,  9 , 17 , 19 , 24 , 27 , 34 , 41 , 43
MC23F14F015 -->  5 ,  7 , 13 , 15 , 18 , 24 , 34 , 36 , 45 , 46
MC23F14F016 -->  4 ,  6 , 16 , 19 , 23 , 24 , 37 , 39 , 42 , 43
MC23F14F017 -->  3 ,  6 , 10 , 12 , 14 , 25 , 30 , 31 , 40 , 42
MC23F14F018 -->  2 ,  6 , 12 , 18 , 19 , 24 , 31 , 35 , 41 , 43
MC23F14F019 -->  6 ,  7 ,  9 , 13 , 24 , 25 , 29 , 36 , 40 , 41
MC23F14F020 -->  2 ,  7 , 11 , 20 , 24 , 26 , 32 , 36 , 43 , 44
MC23F14F021 -->  4 ,  5 ,  8 , 16 , 19 , 23 , 31 , 39 , 44 , 45
MC23F14F023 -->  2 ,  3 , 10 , 15 , 23 , 26 , 36 , 39 , 40 , 45
MC23F14F024 -->  5 ,  6 , 10 , 15 , 20 , 26 , 31 , 37 , 44 , 46
MC23F14F025 -->  3 ,  7 , 12 , 19 , 20 , 25 , 28 , 36 , 41 , 46
MC23F14F026 -->  2 ,  3 , 11 , 17 , 19 , 24 , 28 , 30 , 45 , 47
MC23F14F027 -->  1 ,  4 ,  8 , 12 , 16 , 24 , 34 , 35 , 44 , 46
MC23F14F029 -->  1 ,  5 , 13 , 14 , 18 , 26 , 36 , 38 , 43 , 47
MC23F14F030 -->  1 ,  4 ,  9 , 10 , 23 , 26 , 29 , 32 , 43 , 44
MC23F14F031 -->  3 ,  6 ,  9 , 16 , 20 , 22 , 33 , 37 , 44 , 47
MC23F14F032 -->  4 ,  6 ,  8 , 12 , 14 , 19 , 37 , 39 , 44 , 46
MC23F14F033 -->  2 ,  7 ,  8 , 14 , 16 , 24 , 30 , 32 , 43 , 44
MC23F14F034 -->  1 ,  2 ,  8 , 14 , 17 , 24 , 32 , 34 , 40 , 46
MC23F14F035 -->  3 ,  6 ,  8 , 23 , 24 , 25 , 27 , 33 , 43 , 44
MC23F14F036 -->  3 ,  5 ,  9 , 19 , 22 , 24 , 29 , 37 , 42 , 45
MC23F14F037 -->  2 ,  3 ,  9 , 15 , 18 , 20 , 33 , 39 , 40 , 44
MC23F14F038 -->  5 ,  6 , 11 , 15 , 18 , 24 , 27 , 30 , 42 , 46
MC23F14F039 -->  2 ,  3 ,  8 , 10 , 19 , 25 , 32 , 37 , 42 , 44
MC23F14F040 -->  3 ,  7 ,  8 , 17 , 19 , 21 , 33 , 38 , 42 , 44
MC23F14F041 -->  1 ,  3 , 10 , 14 , 24 , 26 , 38 , 39 , 45 , 46
MC23F14F042 -->  3 ,  6 ,  9 , 13 , 17 , 20 , 27 , 38 , 42 , 44
MC23F14F043 -->  4 ,  5 , 13 , 17 , 22 , 24 , 36 , 38 , 44 , 45
MC23F14F044 -->  2 ,  5 , 15 , 16 , 21 , 23 , 31 , 33 , 43 , 44
MC23F14F045 -->  2 ,  6 , 10 , 16 , 18 , 22 , 28 , 34 , 44 , 46
MC23F14F046 -->  4 ,  7 , 14 , 17 , 21 , 23 , 34 , 35 , 45 , 47
MC23F14F047 -->  1 ,  7 , 11 , 16 , 20 , 25 , 31 , 36 , 41 , 47
MC23F14F048 -->  5 ,  7 ,  9 , 10 , 11 , 22 , 35 , 36 , 43 , 45
MC23F14F049 -->  5 ,  7 , 11 , 12 , 13 , 18 , 30 , 37 , 42 , 47
MC23F14F050 -->  3 ,  6 ,  9 , 13 , 18 , 25 , 27 , 37 , 43 , 44
MC23F14F051 -->  3 ,  5 , 12 , 16 , 17 , 24 , 35 , 39 , 41 , 45
MC23F14F052 -->  5 ,  6 ,  9 , 12 , 16 , 18 , 37 , 38 , 40 , 42
MC23F14F053 -->  1 ,  2 , 16 , 19 , 20 , 26 , 27 , 39 , 42 , 45
MC23F14F054 -->  2 ,  4 ,  8 , 16 , 17 , 21 , 27 , 30 , 42 , 47
MC23F14F056 -->  5 ,  7 , 10 , 18 , 19 , 25 , 28 , 35 , 42 , 47
MC23F14F057 -->  2 ,  6 , 15 , 19 , 25 , 26 , 28 , 35 , 42 , 44
MC23F14F058 -->  2 ,  7 ,  9 , 13 , 18 , 24 , 27 , 37 , 42 , 46
MC23F14F059 -->  2 ,  5 ,  9 , 15 , 22 , 26 , 32 , 36 , 43 , 45
MC23F14F060 -->  3 ,  4 ,  9 , 10 , 20 , 26 , 35 , 36 , 42 , 47
MC23F14F061 -->  1 ,  2 , 11 , 18 , 25 , 26 , 27 , 35 , 40 , 46
MC23F14F062 -->  2 ,  6 , 10 , 13 , 21 , 26 , 31 , 36 , 41 , 43
MC23F14F063 -->  4 ,  6 ,  8 ,  9 , 12 , 19 , 29 , 37 , 40 , 43
MC23F14F064 -->  1 ,  4 , 12 , 18 , 21 , 24 , 34 , 36 , 40 , 43
MC23F14F065 -->  4 ,  5 , 11 , 16 , 19 , 26 , 27 , 28 , 42 , 45
MC23F14F066 -->  3 ,  4 ,  9 , 12 , 13 , 26 , 30 , 34 , 42 , 46
MC23F14F067 -->  1 ,  2 ,  9 , 12 , 17 , 20 , 27 , 39 , 40 , 46
MC23F14F068 -->  2 ,  3 ,  9 , 10 , 17 , 23 , 29 , 38 , 44 , 46
